Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_390.0,dock_availability_390.0,bike_availability_625.0,dock_availability_625.0,bike_availability_430.0,dock_availability_430.0,bike_availability_2337.0,dock_availability_2337.0
2022-04-23 11:00:00+00:00,0.0,11.1,5.0,4,0,5,11,False,4.0,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556,0.9880555555555556
2022-04-23 12:00:00+00:00,0.0,11.9,5.9,4,0,5,12,False,0.0,0.9911111111111112,0.9911111111111112,0.9911111111111112,0.9911111111111112,0.9911111111111112,0.9911111111111112,0.9911111111111112,0.9911111111111112
2022-04-23 13:00:00+00:00,0.0,12.6,5.2,6,2,5,13,False,0.0,0.9858333333333336,0.9858333333333336,0.9858333333333336,0.9858333333333336,0.9858333333333336,0.9858333333333336,0.9858333333333336,0.9858333333333336
2022-04-23 14:00:00+00:00,0.0,13.4,3.2,6,0,5,14,False,2.0,0.9844444444444448,0.9844444444444448,0.9844444444444448,0.9844444444444448,0.9844444444444448,0.9844444444444448,0.9844444444444448,0.9844444444444448
2022-04-23 15:00:00+00:00,0.0,12.5,6.0,6,2,5,15,False,0.0,0.985277777777778,0.985277777777778,0.985277777777778,0.985277777777778,0.985277777777778,0.985277777777778,0.985277777777778,0.985277777777778
2022-04-23 16:00:00+00:00,0.0,13.1,5.8,5,1,5,16,False,2.0,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556
2022-04-23 17:00:00+00:00,0.0,11.9,6.5,5,0,5,17,False,1.0,0.9861111111111108,0.9861111111111108,0.9861111111111108,0.9861111111111108,0.9861111111111108,0.9861111111111108,0.5116666666666667,0.5036111111111111
2022-04-23 18:00:00+00:00,0.0,11.7,5.5,5,0,5,18,False,0.0,0.9969444444444444,0.9969444444444444,0.9969444444444444,0.9969444444444444,0.9969444444444444,0.9969444444444444,0.1794444444444444,0.1238888888888889
2022-04-23 19:00:00+00:00,0.0,10.5,4.7,4,0,5,19,False,0.0,0.9819444444444446,0.9819444444444446,0.9819444444444446,0.9819444444444446,0.9819444444444446,0.9819444444444446,0.1891666666666666,0.1811111111111111
2022-04-23 20:00:00+00:00,0.0,9.2,4.2,4,0,5,20,False,0.0,0.9747222222222224,0.9747222222222224,0.9747222222222224,0.9747222222222224,0.9747222222222224,0.9747222222222224,0.0,0.0
2022-04-23 21:00:00+00:00,0.0,8.7,5.7,4,1,5,21,False,0.0,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.0,0.0
2022-04-23 22:00:00+00:00,0.0,8.1,4.2,6,0,5,22,False,1.0,0.9652777777777776,0.9652777777777776,0.9652777777777776,0.9652777777777776,0.9652777777777776,0.9652777777777776,0.0,0.0
2022-04-23 23:00:00+00:00,0.0,7.8,3.5,6,0,5,23,False,0.0,0.9852777777777776,0.9852777777777776,0.9852777777777776,0.9852777777777776,0.9852777777777776,0.9852777777777776,0.0,0.0
2022-04-24 00:00:00+00:00,0.0,7.2,2.6,6,0,6,0,False,0.0,0.9727777777777772,0.9727777777777772,0.9727777777777772,0.9727777777777772,0.9727777777777772,0.9727777777777772,0.955833333333333,0.9636111111111106
2022-04-24 01:00:00+00:00,0.0,7.1,3.5,6,0,6,1,False,0.0,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9833333333333332
2022-04-24 02:00:00+00:00,0.0,6.6,3.4,6,0,6,2,False,0.0,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554
2022-04-24 03:00:00+00:00,0.0,5.7,3.0,6,0,6,3,False,0.0,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112
