Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_1,dock_availability_1,bike_availability_2,dock_availability_2,bike_availability_3,dock_availability_3,bike_availability_4,dock_availability_4,bike_availability_5,dock_availability_5,bike_availability_6,dock_availability_6,bike_availability_7,dock_availability_7,bike_availability_8,dock_availability_8,bike_availability_9,dock_availability_9,bike_availability_10,dock_availability_10,bike_availability_11,dock_availability_11,bike_availability_12,dock_availability_12
2022-06-29 07:00:00+00:00,0.0,15.0,2.1,7,1,2,7,False,2.0,0.9974999999999996,0.9974999999999996,0.9974999999999996,0.9974999999999996,0.9974999999999996,0.9974999999999996,0.9974999999999996,0.9974999999999996,0.9974999999999996,0.9974999999999996,0.3188888888888889,0.4175,0.9974999999999996,0.9974999999999996,0.6005555555555555,0.721111111111111,0.9974999999999996,0.9974999999999996,0.9974999999999996,0.9974999999999996,0.9974999999999996,0.9974999999999996,0.9974999999999996,0.9974999999999996
2022-06-29 08:00:00+00:00,0.0,14.9,2.8,7,0,2,8,False,1.0,0.964722222222222,0.964722222222222,0.964722222222222,0.964722222222222,0.964722222222222,0.964722222222222,0.964722222222222,0.964722222222222,0.5786111111111111,0.5619444444444444,0.964722222222222,0.964722222222222,0.964722222222222,0.964722222222222,0.835,0.8502777777777776,0.964722222222222,0.964722222222222,0.964722222222222,0.964722222222222,0.964722222222222,0.964722222222222,0.964722222222222,0.964722222222222
2022-06-29 09:00:00+00:00,0.0,16.5,2.9,7,1,2,9,False,0.0,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.4855555555555556,0.4780555555555556,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664
2022-06-29 10:00:00+00:00,0.1,18.3,2.3,1,1,2,10,False,1.0,0.999444444444444,0.999444444444444,0.2211111111111111,0.2211111111111111,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.806111111111111,0.8138888888888887,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444
2022-06-29 11:00:00+00:00,0.0,21.2,1.7,1,1,2,11,False,1.0,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.2241666666666667,0.2308333333333333,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112
2022-06-29 12:00:00+00:00,0.1,22.7,1.4,1,1,2,12,False,1.0,0.999444444444444,0.999444444444444,0.9013888888888886,0.8861111111111108,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.8105555555555554,0.8180555555555553,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444,0.999444444444444
2022-06-29 13:00:00+00:00,0.0,23.6,2.8,1,5,2,13,False,1.0,0.999166666666666,0.999166666666666,0.3974999999999999,0.3822222222222221,0.999166666666666,0.999166666666666,0.999166666666666,0.999166666666666,0.4502777777777776,0.4280555555555554,0.999166666666666,0.999166666666666,0.999166666666666,0.999166666666666,0.999166666666666,0.999166666666666,0.999166666666666,0.999166666666666,0.999166666666666,0.999166666666666,0.999166666666666,0.999166666666666,0.999166666666666,0.999166666666666
2022-06-29 14:00:00+00:00,0.0,23.7,3.1,1,2,2,14,False,5.0,0.9794444444444442,0.9794444444444442,0.0,0.0,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.1819444444444444,0.1819444444444444,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442
2022-06-29 15:00:00+00:00,0.0,23.8,3.2,1,4,2,15,False,2.0,0.9766666666666666,0.9766666666666666,0.7438888888888887,0.7672222222222221,0.9766666666666666,0.9766666666666666,0.9766666666666666,0.9766666666666666,0.4763888888888889,0.4999999999999999,0.9766666666666666,0.9766666666666666,0.9766666666666666,0.9766666666666666,0.9766666666666666,0.9766666666666666,0.9766666666666666,0.9766666666666666,0.9766666666666666,0.9766666666666666,0.9766666666666666,0.9766666666666666,0.9766666666666666,0.9766666666666666
2022-06-29 16:00:00+00:00,0.1,22.9,4.2,2,2,2,16,False,4.0,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666
2022-06-29 17:00:00+00:00,0.1,23.0,3.0,2,1,2,17,False,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8505555555555555,0.8280555555555555,1.0,1.0,1.0,1.0,0.9311111111111112,0.9311111111111112,0.8841666666666665,0.8136111111111111,1.0,1.0,1.0,1.0,1.0,1.0
2022-06-29 18:00:00+00:00,0.0,22.2,3.3,2,3,2,18,False,1.0,0.999722222222222,0.999722222222222,0.8024999999999999,0.8113888888888887,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.1838888888888888,0.2222222222222222,0.999722222222222,0.999722222222222,0.5944444444444444,0.5938888888888889,0.999722222222222,0.999722222222222,0.0,0.0,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222
2022-06-29 19:00:00+00:00,0.0,21.6,2.5,2,3,2,19,False,3.0,0.9974999999999998,0.9974999999999998,0.8155555555555555,0.831111111111111,0.9974999999999998,0.9974999999999998,0.9974999999999998,0.9974999999999998,0.4008333333333334,0.4172222222222222,0.9974999999999998,0.9974999999999998,0.7508333333333332,0.7661111111111111,0.6177777777777778,0.5952777777777778,0.6808333333333333,0.7041666666666667,0.9974999999999998,0.9974999999999998,0.9974999999999998,0.9974999999999998,0.9974999999999998,0.9974999999999998
2022-06-29 20:00:00+00:00,0.0,20.3,2.1,2,1,2,20,False,3.0,0.9991666666666664,0.9991666666666664,0.1127777777777777,0.0974999999999999,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.0536111111111111,0.0455555555555555,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.573611111111111,0.5813888888888887,0.3647222222222222,0.3422222222222222,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664
2022-06-29 21:00:00+00:00,0.0,19.2,1.8,2,1,2,21,False,1.0,0.9988888888888888,0.9988888888888888,0.5875,0.6177777777777778,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.5875,0.6177777777777778,0.9988888888888888,0.9988888888888888,0.3652777777777778,0.3338888888888889,0.3338888888888889,0.3111111111111111,0.0,0.0,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888
2022-06-29 22:00:00+00:00,0.0,16.5,0.9,4,0,2,22,False,1.0,0.4908333333333333,0.5127777777777778,0.1275,0.1275,0.5097222222222223,0.4783333333333334,0.9799999999999998,0.9799999999999998,0.4322222222222222,0.3494444444444444,0.9799999999999998,0.9799999999999998,0.0,0.0,0.0,0.0,0.18,0.2038888888888889,0.9799999999999998,0.9799999999999998,0.7616666666666665,0.7466666666666665,0.9799999999999998,0.9799999999999998
2022-06-29 23:00:00+00:00,0.0,14.6,1.2,4,0,2,23,False,0.0,0.9980555555555554,0.9980555555555554,0.8191666666666665,0.8386111111111109,0.3177777777777777,0.3324999999999999,0.9980555555555554,0.9980555555555554,0.1711111111111111,0.1611111111111111,0.9052777777777776,0.9044444444444444,0.7794444444444443,0.7786111111111109,0.0,0.0,0.967222222222222,0.9677777777777776,0.9980555555555554,0.9980555555555554,0.3841666666666666,0.3986111111111111,0.9980555555555554,0.9980555555555554
2022-06-30 00:00:00+00:00,0.0,13.5,1.5,4,0,3,0,False,0.0,0.979722222222222,0.979722222222222,0.4008333333333333,0.3791666666666666,0.979722222222222,0.979722222222222,0.979722222222222,0.979722222222222,0.8302777777777778,0.8519444444444445,0.979722222222222,0.979722222222222,0.979722222222222,0.979722222222222,0.0,0.0,0.979722222222222,0.979722222222222,0.979722222222222,0.979722222222222,0.979722222222222,0.979722222222222,0.979722222222222,0.979722222222222
2022-06-30 01:00:00+00:00,0.0,12.9,1.5,4,0,3,1,False,0.0,0.949722222222222,0.949722222222222,0.0,0.0,0.949722222222222,0.949722222222222,0.949722222222222,0.949722222222222,0.949722222222222,0.949722222222222,0.949722222222222,0.949722222222222,0.949722222222222,0.949722222222222,0.0,0.0,0.949722222222222,0.949722222222222,0.949722222222222,0.949722222222222,0.949722222222222,0.949722222222222,0.949722222222222,0.949722222222222
2022-06-30 02:00:00+00:00,0.1,12.9,2.4,4,0,3,2,False,0.0,0.9991666666666664,0.9991666666666664,0.0,0.0,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.0,0.0,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664,0.9991666666666664
2022-06-30 03:00:00+00:00,0.1,12.6,1.2,4,0,3,3,False,0.0,0.9997222222222222,0.9997222222222222,0.0,0.0,0.9997222222222222,0.9997222222222222,0.9997222222222222,0.9997222222222222,0.9997222222222222,0.9997222222222222,0.9997222222222222,0.9997222222222222,0.9997222222222222,0.9997222222222222,0.0,0.0,0.9997222222222222,0.9997222222222222,0.9997222222222222,0.9997222222222222,0.9997222222222222,0.9997222222222222,0.9997222222222222,0.9997222222222222
2022-06-30 04:00:00+00:00,0.0,12.6,2.0,4,0,3,4,False,0.0,0.9991666666666668,0.9991666666666668,0.0,0.0,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.0,0.0,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668
2022-06-30 05:00:00+00:00,0.0,14.1,1.0,4,2,3,5,False,0.0,0.9980555555555556,0.9980555555555556,0.0,0.0,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.0,0.0,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556
2022-06-30 06:00:00+00:00,0.0,17.2,0.6,4,2,3,6,False,2.0,0.9966666666666668,0.9966666666666668,0.9125000000000002,0.9338888888888892,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0,0.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.9966666666666668
