Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_1,dock_availability_1,bike_availability_2,dock_availability_2,bike_availability_3,dock_availability_3
2022-06-27 16:00:00+00:00,0.0,21.8,1.0,8,0,0,16,False,1.0,0.9869444444444444,0.9869444444444444,0.9869444444444444,0.9869444444444444,0.0427777777777777,0.0430555555555555
2022-06-27 17:00:00+00:00,0.6,19.6,2.3,8,0,0,17,False,0.0,0.9788888888888888,0.9788888888888888,0.8347222222222221,0.7919444444444443,0.0,0.0
2022-06-27 18:00:00+00:00,0.0,19.5,1.1,8,1,0,18,False,0.0,0.9805555555555556,0.9805555555555556,0.1105555555555555,0.1258333333333333,0.0,0.0
2022-06-27 19:00:00+00:00,0.0,20.8,1.7,7,0,0,19,False,1.0,0.9897222222222224,0.9897222222222224,0.7058333333333334,0.7055555555555556,0.0,0.0
2022-06-27 20:00:00+00:00,1.5,20.2,2.3,7,0,0,20,False,0.0,0.9844444444444446,0.9844444444444446,0.1697222222222222,0.1472222222222222,0.4327777777777778,0.455
2022-06-27 21:00:00+00:00,1.5,18.5,3.3,7,0,0,21,False,0.0,0.9855555555555556,0.9855555555555556,0.0,0.0,0.4263888888888889,0.4113888888888888
2022-06-27 22:00:00+00:00,1.7,18.1,1.8,8,0,0,22,False,0.0,0.9836111111111108,0.9836111111111108,0.0,0.0,0.0,0.0
2022-06-27 23:00:00+00:00,0.0,18.2,0.6,8,0,0,23,False,0.0,0.9813888888888888,0.9813888888888888,0.7349999999999999,0.7572222222222224,0.0,0.0
2022-06-28 00:00:00+00:00,1.0,18.2,1.6,8,0,1,0,False,0.0,0.986666666666666,0.986666666666666,0.0,0.0,0.0,0.0
2022-06-28 01:00:00+00:00,1.8,17.9,1.4,8,0,1,1,False,0.0,0.9858333333333332,0.9858333333333332,0.0,0.0,0.0,0.0
2022-06-28 02:00:00+00:00,1.1,17.5,2.5,8,0,1,2,False,0.0,0.9813888888888892,0.9813888888888892,0.0,0.0,0.0,0.0
2022-06-28 03:00:00+00:00,0.1,17.3,1.1,8,0,1,3,False,0.0,0.9838888888888888,0.9838888888888888,0.0,0.0,0.0,0.0
2022-06-28 04:00:00+00:00,0.2,17.2,2.2,8,0,1,4,False,0.0,0.982777777777778,0.982777777777778,0.0,0.0,0.0,0.0
2022-06-28 05:00:00+00:00,1.0,17.0,2.0,8,0,1,5,False,0.0,0.9822222222222216,0.9822222222222216,0.0,0.0,0.0,0.0
2022-06-28 06:00:00+00:00,0.6,16.5,1.8,8,0,1,6,False,0.0,0.9913888888888892,0.9913888888888892,0.0,0.0,0.0,0.0
2022-06-28 07:00:00+00:00,0.0,16.7,2.6,8,0,1,7,False,0.0,0.9802777777777776,0.9802777777777776,0.0080555555555555,0.0233333333333333,0.4002777777777778,0.4169444444444445
2022-06-28 08:00:00+00:00,0.0,16.6,3.1,8,0,1,8,False,0.0,0.9494444444444446,0.9494444444444446,0.8811111111111113,0.8955555555555558,0.9494444444444446,0.9494444444444446
2022-06-28 09:00:00+00:00,0.0,16.1,3.4,8,0,1,9,False,0.0,0.9836111111111112,0.9836111111111112,0.9836111111111112,0.9836111111111112,0.3,0.1661111111111111
