Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour
2022-08-05 07:00:00+00:00,0.0,8.1,0.7,2,0,4,7,False,1.0
2022-08-05 08:00:00+00:00,0.0,8.6,3.6,2,0,4,8,False,0.0
2022-08-05 09:00:00+00:00,0.0,9.7,1.8,2,1,4,9,False,0.0
2022-08-05 10:00:00+00:00,0.0,11.1,1.8,3,0,4,10,False,1.0
2022-08-05 11:00:00+00:00,0.0,11.7,3.6,3,0,4,11,False,0.0
2022-08-05 12:00:00+00:00,0.0,13.0,3.0,3,0,4,12,False,0.0
2022-08-05 13:00:00+00:00,0.0,13.7,3.1,2,1,4,13,False,0.0
2022-08-05 14:00:00+00:00,0.0,13.9,2.8,2,0,4,14,False,1.0
2022-08-05 15:00:00+00:00,0.0,14.4,3.3,2,0,4,15,False,0.0
2022-08-05 16:00:00+00:00,0.0,14.2,2.5,1,0,4,16,False,0.0
2022-08-05 17:00:00+00:00,0.0,14.1,2.6,1,0,4,17,False,0.0
2022-08-05 18:00:00+00:00,0.0,13.7,2.9,1,0,4,18,False,0.0
2022-08-05 19:00:00+00:00,0.0,13.1,2.3,3,0,4,19,False,0.0
2022-08-05 20:00:00+00:00,0.0,11.3,3.8,3,3,4,20,False,0.0
2022-08-05 21:00:00+00:00,0.0,10.0,2.4,3,0,4,21,False,3.0
2022-08-05 22:00:00+00:00,0.0,9.3,2.0,3,0,4,22,False,0.0
2022-08-05 23:00:00+00:00,0.0,8.2,1.6,3,0,4,23,False,0.0
2022-08-06 00:00:00+00:00,0.5,13.6,3.0,7,0,5,0,False,0.0
2022-08-06 01:00:00+00:00,2.5,13.5,3.1,7,0,5,1,False,0.0
2022-08-06 02:00:00+00:00,4.4,13.3,0.7,7,0,5,2,False,0.0
2022-08-06 03:00:00+00:00,2.1,13.5,2.2,7,0,5,3,False,0.0
2022-08-06 04:00:00+00:00,0.2,13.5,1.3,7,0,5,4,False,0.0
2022-08-06 05:00:00+00:00,0.0,13.7,2.6,7,0,5,5,False,0.0
2022-08-06 06:00:00+00:00,0.3,13.6,1.2,7,1,5,6,False,0.0
2022-08-06 07:00:00+00:00,2.8,13.1,1.4,8,1,5,7,False,1.0
2022-08-06 08:00:00+00:00,0.3,15.2,2.5,8,0,5,8,False,1.0
2022-08-06 09:00:00+00:00,0.1,14.5,2.0,8,0,5,9,False,0.0
2022-08-06 10:00:00+00:00,0.2,16.2,2.6,7,0,5,10,False,0.0
2022-08-06 11:00:00+00:00,0.0,15.5,1.5,7,0,5,11,False,0.0
2022-08-06 12:00:00+00:00,0.1,14.4,1.4,7,0,5,12,False,0.0
2022-08-06 13:00:00+00:00,0.9,13.0,2.7,7,3,5,13,False,0.0
2022-08-06 14:00:00+00:00,0.2,15.7,1.3,7,0,5,14,False,3.0
2022-08-06 15:00:00+00:00,0.0,18.3,1.1,7,0,5,15,False,0.0
2022-08-06 16:00:00+00:00,1.4,15.4,1.1,7,0,5,16,False,0.0
2022-08-06 17:00:00+00:00,1.4,16.9,1.0,7,0,5,17,False,0.0
2022-08-06 18:00:00+00:00,0.0,16.6,1.2,7,0,5,18,False,0.0
2022-08-06 19:00:00+00:00,0.0,15.7,0.9,7,0,5,19,False,0.0
2022-08-06 20:00:00+00:00,0.0,15.3,1.2,7,7,5,20,False,0.0
2022-08-06 21:00:00+00:00,0.0,13.9,1.5,7,0,5,21,False,7.0
2022-08-06 22:00:00+00:00,0.0,12.4,0.6,1,0,5,22,False,0.0
2022-08-06 23:00:00+00:00,0.0,12.8,1.5,1,0,5,23,False,0.0
2022-08-07 00:00:00+00:00,0.0,15.9,2.1,8,0,6,0,False,0.0
2022-08-07 01:00:00+00:00,0.0,15.6,3.1,8,0,6,1,False,0.0
2022-08-07 02:00:00+00:00,0.0,14.9,4.5,8,0,6,2,False,0.0
2022-08-07 03:00:00+00:00,0.0,14.8,2.8,8,0,6,3,False,0.0
2022-08-07 04:00:00+00:00,0.0,13.3,1.7,8,0,6,4,False,0.0
2022-08-07 05:00:00+00:00,0.0,14.2,2.9,8,2,6,5,False,0.0
2022-08-07 06:00:00+00:00,0.0,15.5,1.0,8,1,6,6,False,2.0
2022-08-07 07:00:00+00:00,0.0,16.5,4.8,0,0,6,7,False,1.0
2022-08-07 08:00:00+00:00,0.0,17.9,3.0,0,0,6,8,False,0.0
2022-08-07 09:00:00+00:00,0.0,18.9,2.7,0,0,6,9,False,0.0
