Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability,dock_availability_x,availability,dock_availability_y
2022-08-01 18:00:00+00:00,0.0,-2.8,2.9,7,4,0,18,False,7.0,0.9777777777777776,0.9777777777777776,0.9777777777777776,0.9777777777777776,0.9777777777777776,0.9777777777777776,0.6122222222222222,0.5125
2022-08-01 19:00:00+00:00,0.0,-2.8,2.7,8,4,0,19,False,4.0,0.976111111111111,0.976111111111111,0.976111111111111,0.976111111111111,0.976111111111111,0.976111111111111,0.2589814814814814,0.1005555555555555
2022-08-01 20:00:00+00:00,0.0,-2.7,3.1,8,4,0,20,False,4.0,0.8549999999999996,0.8713888888888885,0.9705555555555552,0.9705555555555552,0.8549999999999996,0.8713888888888885,0.4341666666666666,0.0
2022-08-01 21:00:00+00:00,0.0,-2.6,2.0,8,6,0,21,False,4.0,0.9780555555555552,0.9780555555555552,0.9780555555555552,0.9780555555555552,0.9780555555555552,0.9780555555555552,0.3252777777777778,0.3458333333333333
2022-08-01 22:00:00+00:00,0.0,-2.6,1.9,8,1,0,22,False,6.0,0.9811111111111112,0.9811111111111112,0.8475,0.8325,0.9811111111111112,0.9811111111111112,0.4308333333333333,0.6258333333333335
2022-08-01 23:00:00+00:00,0.0,-2.6,3.8,8,0,0,23,False,1.0,0.9263888888888888,0.9263888888888888,0.6111111111111112,0.6486111111111112,0.9263888888888888,0.9263888888888888,0.33,0.4791666666666667
2022-08-02 00:00:00+00:00,0.0,1.2,1.6,8,0,1,0,False,0.0,0.9927777777777776,0.9927777777777776,0.9927777777777776,0.9927777777777776,0.9927777777777776,0.9927777777777776,0.3309259259259259,0.0
2022-08-02 01:00:00+00:00,0.0,1.1,1.4,8,0,1,1,False,0.0,0.9827777777777774,0.9827777777777774,0.9827777777777774,0.9827777777777774,0.9827777777777774,0.9827777777777774,0.0274074074074073,0.0
2022-08-02 02:00:00+00:00,0.0,1.7,3.6,8,0,1,2,False,0.0,0.946111111111111,0.946111111111111,0.946111111111111,0.946111111111111,0.946111111111111,0.946111111111111,0.0,0.0
2022-08-02 03:00:00+00:00,0.0,2.5,4.4,8,0,1,3,False,0.0,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.0,0.0
