Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_553.0,dock_availability_553.0,bike_availability_577.0,dock_availability_577.0,bike_availability_576.0,dock_availability_576.0,bike_availability_545.0,dock_availability_545.0,bike_availability_2330.0,dock_availability_2330.0,bike_availability_549.0,dock_availability_549.0
2022-07-14 08:00:00+00:00,0.0,15.3,1.6,7,2,3,8,False,0.0,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.9805555555555554,0.2547222222222222,0.27,0.0,0.0
2022-07-14 09:00:00+00:00,0.0,16.1,2.1,7,2,3,9,False,2.0,0.2102777777777777,0.1636111111111111,0.9974999999999996,0.9974999999999996,0.9974999999999996,0.9974999999999996,0.9974999999999996,0.9974999999999996,0.9974999999999996,0.9974999999999996,0.0,0.0
2022-07-14 10:00:00+00:00,0.0,18.5,2.2,7,1,3,10,False,2.0,0.2830555555555555,0.2988888888888888,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.5586111111111112,0.5433333333333333,0.1119444444444444,0.1122222222222222
2022-07-14 11:00:00+00:00,0.0,18.0,1.4,7,2,3,11,False,1.0,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.9961111111111112,0.5011111111111111,0.5008333333333334,0.0,0.0
2022-07-14 12:00:00+00:00,0.0,18.6,4.7,7,13,3,12,False,2.0,0.9661111111111108,0.9661111111111108,0.9661111111111108,0.9661111111111108,0.9661111111111108,0.9661111111111108,0.9661111111111108,0.9661111111111108,0.1752777777777778,0.1763888888888889,0.0,0.0
2022-07-14 13:00:00+00:00,0.0,17.9,3.9,7,4,3,13,False,13.0,0.9955555555555556,0.9955555555555556,0.9955555555555556,0.9955555555555556,0.9955555555555556,0.9955555555555556,0.9955555555555556,0.9955555555555556,0.4947222222222222,0.5183333333333334,0.1327777777777777,0.1641666666666666
2022-07-14 14:00:00+00:00,0.0,18.2,4.0,7,11,3,14,False,4.0,0.9752777777777776,0.9752777777777776,0.9752777777777776,0.9752777777777776,0.9752777777777776,0.9752777777777776,0.9752777777777776,0.9752777777777776,0.8294444444444443,0.7747222222222222,0.9752777777777776,0.9752777777777776
2022-07-14 15:00:00+00:00,0.0,18.2,2.8,7,6,3,15,False,11.0,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.0,0.0,0.9605555555555556,0.9525000000000002
2022-07-14 16:00:00+00:00,0.0,17.8,2.5,7,1,3,16,False,6.0,0.9588888888888883,0.9588888888888883,0.9588888888888883,0.9588888888888883,0.9588888888888883,0.9588888888888883,0.9588888888888883,0.9588888888888883,0.4980555555555555,0.5136111111111111,0.3544444444444444,0.3463888888888889
2022-07-14 17:00:00+00:00,0.0,18.7,3.6,7,6,3,17,False,1.0,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.726388888888889,0.7261111111111112,0.9969444444444444,0.9980555555555556
2022-07-14 18:00:00+00:00,0.0,17.7,4.0,7,6,3,18,False,6.0,0.9969444444444444,0.9969444444444444,0.6594444444444445,0.6422222222222222,0.9969444444444444,0.9969444444444444,0.9969444444444444,0.9969444444444444,0.3625,0.3461111111111111,0.9347222222222225,0.948888888888889
2022-07-14 19:00:00+00:00,0.0,16.5,3.5,7,0,3,19,False,6.0,0.945,0.945,0.7294444444444445,0.7447222222222223,0.945,0.945,0.945,0.945,0.8980555555555556,0.9147222222222222,0.945,0.945
2022-07-14 20:00:00+00:00,0.0,15.8,3.8,7,1,3,20,False,0.0,0.9774999999999996,0.9774999999999996,0.9774999999999996,0.9774999999999996,0.9774999999999996,0.9774999999999996,0.9774999999999996,0.9774999999999996,0.9774999999999996,0.9774999999999996,0.9774999999999996,0.9774999999999996
2022-07-14 21:00:00+00:00,0.0,15.0,1.8,7,1,3,21,False,1.0,0.9827777777777776,0.9827777777777776,0.9827777777777776,0.9827777777777776,0.9827777777777776,0.9827777777777776,0.9827777777777776,0.9827777777777776,0.9827777777777776,0.9827777777777776,0.9827777777777776,0.9827777777777776
2022-07-14 22:00:00+00:00,0.0,14.4,2.5,7,0,3,22,False,1.0,0.994722222222222,0.994722222222222,0.994722222222222,0.994722222222222,0.994722222222222,0.994722222222222,0.994722222222222,0.994722222222222,0.994722222222222,0.994722222222222,0.994722222222222,0.994722222222222
2022-07-14 23:00:00+00:00,0.0,13.6,4.0,7,0,3,23,False,0.0,0.9730555555555556,0.9730555555555556,0.9730555555555556,0.9730555555555556,0.9730555555555556,0.9730555555555556,0.9730555555555556,0.9730555555555556,0.9730555555555556,0.9730555555555556,0.9730555555555556,0.9730555555555556
