Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,availability,dock_availability
2022-08-04 14:00:00+00:00,0.0,4.9,5.0,7,19.0,3,14,False,26.0,0.9252287581699348,0.9830555555555556
2022-08-04 15:00:00+00:00,0.0,5.5,5.6,7,21.0,3,15,False,19.0,0.9388235294117648,0.9974999999999998
2022-08-04 16:00:00+00:00,0.0,5.0,7.9,4,32.0,3,16,False,21.0,0.9249673202614384,0.982777777777778
2022-08-04 17:00:00+00:00,0.0,3.9,7.9,4,14.0,3,17,False,32.0,0.9362091503267972,0.994722222222222
2022-08-04 18:00:00+00:00,0.0,3.4,5.4,4,16.0,3,18,False,14.0,0.9202614379084968,0.9777777777777776
2022-08-04 19:00:00+00:00,0.0,1.9,4.4,2,12.0,3,19,False,16.0,0.910065359477124,0.9669444444444444
2022-08-04 20:00:00+00:00,0.0,1.0,2.3,2,28.0,3,20,False,12.0,0.921797385620915,0.9941666666666664
2022-08-04 21:00:00+00:00,0.0,1.0,3.7,2,7.0,3,21,False,28.0,0.871372549019608,0.9588888888888888
2022-08-04 22:00:00+00:00,0.0,1.0,3.0,4,7.0,3,22,False,7.0,0.9202614379084968,0.9777777777777776
2022-08-04 23:00:00+00:00,0.0,0.0,1.6,4,0.0,3,23,False,7.0,0.9249673202614376,0.9827777777777778
2022-08-05 00:00:00+00:00,0.0,5.6,4.0,1,0.0,4,0,False,0.0,0.9228758169934632,0.9805555555555552
2022-08-05 01:00:00+00:00,0.0,4.4,1.2,1,0.0,4,1,False,0.0,0.9199999999999996,0.9775
2022-08-05 02:00:00+00:00,0.0,3.6,2.0,1,0.0,4,2,False,0.0,0.9197385620915034,0.9772222222222224
2022-08-05 03:00:00+00:00,0.0,2.9,1.4,1,3.0,4,3,False,0.0,0.904052287581699,0.9605555555555554
2022-08-05 04:00:00+00:00,0.0,2.2,0.9,1,6.0,4,4,False,3.0,0.9220915032679738,0.9797222222222224
2022-08-05 05:00:00+00:00,0.0,2.2,1.7,1,40.0,4,5,False,6.0,0.9401307189542484,0.9988888888888888
2022-08-05 06:00:00+00:00,0.0,5.2,2.6,1,84.0,4,6,False,40.0,0.9218300653594772,0.9794444444444446
2022-08-05 07:00:00+00:00,0.0,8.1,0.7,2,24.0,4,7,False,84.0,0.9398692810457518,0.998611111111111
2022-08-05 08:00:00+00:00,0.0,8.6,3.6,2,16.0,4,8,False,24.0,0.9199999999999992,0.9774999999999996
2022-08-05 09:00:00+00:00,0.0,9.7,1.8,2,17.0,4,9,False,16.0,0.9090196078431376,0.9658333333333334
2022-08-05 10:00:00+00:00,0.0,11.1,1.8,3,16.0,4,10,False,17.0,0.9349019607843132,0.9933333333333332
2022-08-05 11:00:00+00:00,0.0,11.7,3.6,3,28.0,4,11,False,16.0,0.9351633986928104,0.9936111111111112
2022-08-05 12:00:00+00:00,0.0,13.0,3.0,3,27.0,4,12,False,28.0,0.9383006535947715,0.9969444444444444
2022-08-05 13:00:00+00:00,0.0,13.7,3.1,2,36.0,4,13,False,27.0,0.8705882352941179,0.925
2022-08-05 14:00:00+00:00,0.0,13.9,2.8,2,36.0,4,14,False,36.0,0.940915032679738,0.9997222222222218
2022-08-05 15:00:00+00:00,0.0,14.4,3.3,2,47.0,4,15,False,36.0,0.9220915032679738,0.9797222222222224
2022-08-05 16:00:00+00:00,0.0,14.2,2.5,1,29.0,4,16,False,47.0,0.9233986928104576,0.9811111111111108
2022-08-05 17:00:00+00:00,0.0,14.1,2.6,1,27.0,4,17,False,29.0,0.919477124183006,0.9769444444444442
2022-08-05 18:00:00+00:00,0.0,13.7,2.9,1,29.0,4,18,False,27.0,0.9186928104575164,0.976111111111111
2022-08-05 19:00:00+00:00,0.0,13.1,2.3,3,17.0,4,19,False,29.0,0.9202614379084968,0.977777777777778
2022-08-05 20:00:00+00:00,0.0,11.3,3.8,3,22.0,4,20,False,17.0,0.8984150326797385,0.9994444444444444
2022-08-05 21:00:00+00:00,0.0,10.0,2.4,3,13.0,4,21,False,22.0,0.8960784313725487,0.9977777777777777
2022-08-05 22:00:00+00:00,0.0,9.3,2.0,3,17.0,4,22,False,13.0,0.8671568627450975,0.9827777777777774
2022-08-05 23:00:00+00:00,0.0,8.2,1.6,3,0.0,4,23,False,17.0,0.8821078431372545,0.999722222222222
2022-08-06 00:00:00+00:00,0.5,13.6,3.0,7,0.0,5,0,False,0.0,0.9339379084967324,0.9975000000000002
2022-08-06 01:00:00+00:00,2.5,13.5,3.1,7,0.0,5,1,False,0.0,0.9043137254901962,0.9608333333333334
2022-08-06 02:00:00+00:00,4.4,13.3,0.7,7,0.0,5,2,False,0.0,0.9197385620915034,0.9772222222222224
2022-08-06 03:00:00+00:00,2.1,13.5,2.2,7,4.0,5,3,False,0.0,0.9241830065359476,0.9819444444444444
2022-08-06 04:00:00+00:00,0.2,13.5,1.3,7,4.0,5,4,False,4.0,0.922614379084967,0.9802777777777778
2022-08-06 05:00:00+00:00,0.0,13.7,2.6,7,7.0,5,5,False,4.0,0.9058823529411768,0.9625
2022-08-06 06:00:00+00:00,0.3,13.6,1.2,7,6.0,5,6,False,7.0,0.905098039215686,0.9616666666666666
2022-08-06 07:00:00+00:00,2.8,13.1,1.4,8,21.0,5,7,False,6.0,0.909281045751634,0.966111111111111
2022-08-06 08:00:00+00:00,0.3,15.2,2.5,8,20.0,5,8,False,21.0,0.9380392156862744,0.9966666666666668
2022-08-06 09:00:00+00:00,0.1,14.5,2.0,8,32.0,5,9,False,20.0,0.908006535947712,0.9991666666666664
2022-08-06 10:00:00+00:00,0.2,16.2,2.6,7,40.0,5,10,False,32.0,0.8629901960784311,0.9780555555555556
2022-08-06 11:00:00+00:00,0.0,15.5,1.5,7,50.0,5,11,False,40.0,0.8813725490196078,0.9988888888888888
2022-08-06 12:00:00+00:00,0.1,14.4,1.4,7,36.0,5,12,False,50.0,0.9311764705882348,0.9997222222222218
2022-08-06 13:00:00+00:00,0.9,13.0,2.7,7,28.0,5,13,False,36.0,0.9034640522875814,0.9997222222222222
2022-08-06 14:00:00+00:00,0.2,15.7,1.3,7,23.0,5,14,False,28.0,0.866797385620915,0.9777777777777776
2022-08-06 15:00:00+00:00,0.0,18.3,1.1,7,51.0,5,15,False,23.0,0.8654901960784315,0.960277777777778
2022-08-06 16:00:00+00:00,1.4,15.4,1.1,7,48.0,5,16,False,51.0,0.8890522875816992,0.9955555555555556
2022-08-06 17:00:00+00:00,1.4,16.9,1.0,7,29.0,5,17,False,48.0,0.886486928104575,0.9819444444444442
2022-08-06 18:00:00+00:00,0.0,16.6,1.2,7,26.0,5,18,False,29.0,0.9005718954248363,0.9802777777777776
2022-08-06 19:00:00+00:00,0.0,15.7,0.9,7,20.0,5,19,False,26.0,0.8403104575163397,0.9977777777777778
2022-08-06 20:00:00+00:00,0.0,15.3,1.2,7,23.0,5,20,False,20.0,0.8760784313725489,0.9994444444444444
2022-08-06 21:00:00+00:00,0.0,13.9,1.5,7,15.0,5,21,False,23.0,0.865343137254902,0.9830555555555556
2022-08-06 22:00:00+00:00,0.0,12.4,0.6,1,7.0,5,22,False,15.0,0.8637254901960786,0.978888888888889
2022-08-06 23:00:00+00:00,0.0,12.8,1.5,1,0.0,5,23,False,7.0,0.865441176470588,0.9808333333333332
2022-08-07 00:00:00+00:00,0.0,15.9,2.1,8,0.0,6,0,False,0.0,0.7603758169934641,0.96
2022-08-07 01:00:00+00:00,0.0,15.6,3.1,8,0.0,6,1,False,0.0,0.6892156862745095,0.9763888888888888
2022-08-07 02:00:00+00:00,0.0,14.9,4.5,8,0.0,6,2,False,0.0,0.7039215686274508,0.997222222222222
2022-08-07 03:00:00+00:00,0.0,14.8,2.8,8,0.0,6,3,False,0.0,0.703529411764706,0.9966666666666668
