Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability,dock_availability_x,availability,dock_availability_y
2022-07-30 23:00:00+00:00,0.0,16.2,2.7,6,0,5,23,False,1.0,0.9780555555555552,0.9780555555555552,0.9780555555555552,0.9780555555555552,0.9780555555555552,0.9780555555555552,0.9780555555555552,0.9780555555555552,0.6147222222222221,0.6072222222222222,0.9780555555555552,0.9780555555555552,0.9780555555555552,0.9780555555555552,0.9780555555555552,0.9780555555555552,0.9688888888888884,0.9780555555555552,0.0,0.0
2022-07-31 00:00:00+00:00,0.0,15.5,1.9,6,0,6,0,False,0.0,0.981388888888889,0.981388888888889,0.0825,0.0605555555555555,0.981388888888889,0.981388888888889,0.981388888888889,0.981388888888889,0.981388888888889,0.981388888888889,0.981388888888889,0.981388888888889,0.981388888888889,0.981388888888889,0.981388888888889,0.981388888888889,0.822037037037037,0.981388888888889,0.6658333333333334,0.6883333333333334
2022-07-31 01:00:00+00:00,0.0,15.4,1.5,6,0,6,1,False,0.0,0.9794444444444446,0.9794444444444446,0.0,0.0,0.9794444444444446,0.9794444444444446,0.9794444444444446,0.9794444444444446,0.9794444444444446,0.9794444444444446,0.9794444444444446,0.9794444444444446,0.9794444444444446,0.9794444444444446,0.9794444444444446,0.9794444444444446,0.8706172839506174,0.9794444444444446,0.9794444444444446,0.9794444444444446
2022-07-31 02:00:00+00:00,0.0,15.0,1.2,6,0,6,2,False,0.0,0.9819444444444444,0.9819444444444444,0.0,0.0,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.8728395061728395,0.9819444444444444,0.9819444444444444,0.9819444444444444
2022-07-31 03:00:00+00:00,0.0,14.2,1.9,6,0,6,3,False,0.0,0.982222222222222,0.982222222222222,0.0,0.0,0.982222222222222,0.982222222222222,0.982222222222222,0.982222222222222,0.982222222222222,0.982222222222222,0.982222222222222,0.982222222222222,0.982222222222222,0.982222222222222,0.982222222222222,0.982222222222222,0.8730864197530862,0.982222222222222,0.982222222222222,0.982222222222222
2022-07-31 04:00:00+00:00,0.0,14.3,0.8,6,0,6,4,False,0.0,0.9816666666666666,0.9816666666666666,0.0,0.0,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.9816666666666666,0.8725925925925925,0.9816666666666666,0.9816666666666666,0.9816666666666666
2022-07-31 05:00:00+00:00,0.0,14.3,1.0,6,0,6,5,False,0.0,0.9980555555555556,0.9980555555555556,0.2658333333333333,0.3144444444444444,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9980555555555556,0.9166975308641976,0.9980555555555556,0.9980555555555556,0.9980555555555556
2022-07-31 06:00:00+00:00,0.0,15.3,1.4,6,0,6,6,False,0.0,0.9813888888888888,0.9813888888888888,0.9325,0.9116666666666664,0.9813888888888888,0.9813888888888888,0.9813888888888888,0.9813888888888888,0.9813888888888888,0.9813888888888888,0.9813888888888888,0.9813888888888888,0.9813888888888888,0.9813888888888888,0.9813888888888888,0.9813888888888888,0.9759567901234568,0.9813888888888888,0.9813888888888888,0.9813888888888888
2022-07-31 07:00:00+00:00,0.0,15.9,1.8,7,1,6,7,False,0.0,0.9794444444444445,0.9794444444444445,0.5013888888888889,0.5152777777777777,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.8673765432098767,0.9794444444444445,0.9302777777777778,0.9161111111111112
2022-07-31 08:00:00+00:00,0.0,16.7,2.0,7,0,6,8,False,1.0,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.0,0.0
2022-07-31 09:00:00+00:00,0.0,17.0,1.2,7,0,6,9,False,0.0,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9635493827160492,0.9819444444444444,0.8049999999999999,0.835
2022-07-31 10:00:00+00:00,0.0,18.5,1.1,7,0,6,10,False,0.0,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.9811111111111112,0.976141975308642,0.9811111111111112,0.8472222222222224,0.8319444444444447
