Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,month,bike_availability_478.0,dock_availability_478.0,bike_availability_609.0,dock_availability_609.0,bike_availability_577.0,dock_availability_577.0,bike_availability_599.0,dock_availability_599.0,bike_availability_547.0,dock_availability_547.0,bike_availability_396.0,dock_availability_396.0,bike_availability_545.0,dock_availability_545.0,num_bikes_available
2021-08-05 08:00:00+00:00,0.0,7.2,1.6,0,3,3,8,False,0.0,8,0.9558333333333332,0.9558333333333332,0.9558333333333332,0.9558333333333332,0.5791666666666666,0.8294444444444444,0.9558333333333332,0.9558333333333332,0.9558333333333332,0.9558333333333332,0.9558333333333332,0.9252777777777778,0.9558333333333332,0.9558333333333332,14
2021-08-05 09:00:00+00:00,0.0,8.7,2.1,0,0,3,9,False,3.0,8,0.9519444444444444,0.9519444444444444,0.9519444444444444,0.9519444444444444,0.9519444444444444,0.9519444444444444,0.9519444444444444,0.9519444444444444,0.9519444444444444,0.9519444444444444,0.1480555555555555,0.3919444444444444,0.9519444444444444,0.9519444444444444,18
2021-08-05 10:00:00+00:00,0.0,10.3,2.3,1,2,3,10,False,0.0,8,0.8372222222222222,0.8372222222222222,0.8372222222222222,0.8372222222222222,0.8372222222222222,0.8372222222222222,0.8372222222222222,0.8372222222222222,0.8372222222222222,0.8372222222222222,0.8372222222222222,0.8372222222222222,0.8066666666666666,0.1872222222222222,18
2021-08-05 11:00:00+00:00,0.0,11.8,3.3,1,0,3,11,False,2.0,8,0.9208333333333332,0.9208333333333332,0.5744444444444445,0.3505555555555555,0.9208333333333332,0.8602777777777777,0.9208333333333332,0.9208333333333332,0.9208333333333332,0.9208333333333332,0.8105555555555556,0.5702777777777778,0.0,0.0,18
2021-08-05 12:00:00+00:00,0.0,12.2,3.8,1,0,3,12,False,0.0,8,0.963611111111111,0.963611111111111,0.6347222222222222,0.1833333333333333,0.0388888888888888,0.1363888888888889,0.963611111111111,0.963611111111111,0.963611111111111,0.963611111111111,0.9538888888888888,0.963611111111111,0.0,0.0,18
2021-08-05 13:00:00+00:00,0.0,13.0,3.8,2,1,3,13,False,0.0,8,0.9938888888888888,0.9938888888888888,0.0,0.0,0.9938888888888888,0.9938888888888888,0.9938888888888888,0.9938888888888888,0.9938888888888888,0.9938888888888888,0.9938888888888888,0.9938888888888888,0.0,0.0,17
2021-08-05 14:00:00+00:00,0.0,12.4,3.5,2,2,3,14,False,1.0,8,0.9927777777777778,0.9927777777777778,0.0,0.0,0.9927777777777778,0.9927777777777778,0.9927777777777778,0.9927777777777778,0.9927777777777778,0.9927777777777778,0.9927777777777778,0.9927777777777778,0.1566666666666666,0.8733333333333333,17
2021-08-05 15:00:00+00:00,0.0,11.6,5.9,2,4,3,15,False,2.0,8,0.9905555555555556,0.9905555555555556,0.2480555555555555,0.9855555555555556,0.9905555555555556,0.9905555555555556,0.9905555555555556,0.9905555555555556,0.9905555555555556,0.9905555555555556,0.9905555555555556,0.9402777777777778,0.9905555555555556,0.9905555555555556,18
2021-08-05 16:00:00+00:00,0.0,12.2,7.6,5,2,3,16,False,4.0,8,0.9938888888888888,0.9938888888888888,0.9938888888888888,0.9938888888888888,0.9938888888888888,0.9938888888888888,0.9938888888888888,0.9938888888888888,0.9938888888888888,0.9938888888888888,0.9652777777777778,0.9841666666666666,0.9938888888888888,0.9938888888888888,17
2021-08-05 17:00:00+00:00,0.0,10.9,4.9,5,2,3,17,False,2.0,8,0.8447222222222223,0.8447222222222223,0.8447222222222223,0.8447222222222223,0.8447222222222223,0.8447222222222223,0.8447222222222223,0.8447222222222223,0.8447222222222223,0.8447222222222223,0.6619444444444444,0.7488888888888888,0.8447222222222223,0.8447222222222223,16
2021-08-05 18:00:00+00:00,0.0,11.0,4.0,5,2,3,18,False,2.0,8,0.8438888888888889,0.8438888888888889,0.6558333333333334,0.3661111111111111,0.8438888888888889,0.8438888888888889,0.8438888888888889,0.8438888888888889,0.8438888888888889,0.8438888888888889,0.8438888888888889,0.8438888888888889,0.8438888888888889,0.8438888888888889,13
2021-08-05 19:00:00+00:00,0.0,9.4,5.4,6,1,3,19,False,2.0,8,0.4952777777777777,0.4952777777777777,0.1352777777777777,0.0,0.4952777777777777,0.4952777777777777,0.4952777777777777,0.4952777777777777,0.4952777777777777,0.4952777777777777,0.4952777777777777,0.4952777777777777,0.4952777777777777,0.4952777777777777,14
2021-08-05 20:00:00+00:00,0.0,8.2,4.7,6,0,3,20,False,1.0,8,0.8633333333333333,0.8633333333333333,0.1991666666666666,0.6733333333333333,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.8633333333333333,13
2021-08-05 21:00:00+00:00,0.1,7.0,4.5,6,1,3,21,False,0.0,8,0.9372222222222222,0.9372222222222222,0.9372222222222222,0.9372222222222222,0.9372222222222222,0.9372222222222222,0.9372222222222222,0.9372222222222222,0.9372222222222222,0.9372222222222222,0.9372222222222222,0.9372222222222222,0.9372222222222222,0.9372222222222222,11
2021-08-05 22:00:00+00:00,0.0,6.4,3.7,7,0,3,22,False,1.0,8,0.9394444444444444,0.9394444444444444,0.9394444444444444,0.9394444444444444,0.9394444444444444,0.9394444444444444,0.9394444444444444,0.9394444444444444,0.9394444444444444,0.9394444444444444,0.9394444444444444,0.9394444444444444,0.9394444444444444,0.9394444444444444,10
2021-08-05 23:00:00+00:00,0.0,6.2,3.3,7,0,3,23,False,0.0,8,0.9386111111111112,0.9386111111111112,0.9386111111111112,0.9386111111111112,0.9386111111111112,0.9386111111111112,0.9386111111111112,0.9386111111111112,0.9386111111111112,0.9386111111111112,0.9386111111111112,0.9386111111111112,0.9386111111111112,0.9386111111111112,10
2021-08-06 00:00:00+00:00,0.0,14.5,1.7,8,0,4,0,False,0.0,8,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.8686111111111111,0.2522222222222222,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,10
2021-08-06 01:00:00+00:00,0.0,14.5,0.5,8,0,4,1,False,0.0,8,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.0,0.0,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.9658333333333332,10
2021-08-06 02:00:00+00:00,0.0,14.6,2.2,8,0,4,2,False,0.0,8,0.9625,0.9625,0.9625,0.9625,0.9625,0.9625,0.0,0.0,0.9625,0.9625,0.9625,0.9625,0.9625,0.9625,10
2021-08-06 03:00:00+00:00,0.0,14.6,0.9,8,0,4,3,False,0.0,8,0.5530555555555555,0.5530555555555555,0.5530555555555555,0.5530555555555555,0.5530555555555555,0.5530555555555555,0.0,0.0,0.5530555555555555,0.5530555555555555,0.5530555555555555,0.5530555555555555,0.5530555555555555,0.5530555555555555,10
2021-08-06 04:00:00+00:00,0.0,14.6,0.9,8,0,4,4,False,0.0,8,0.5641666666666666,0.5641666666666666,0.5641666666666666,0.5641666666666666,0.5641666666666666,0.5641666666666666,0.0,0.0,0.5641666666666666,0.5641666666666666,0.5641666666666666,0.5641666666666666,0.5641666666666666,0.5641666666666666,10
2021-08-06 05:00:00+00:00,0.0,14.8,2.0,8,0,4,5,False,0.0,8,0.7330555555555556,0.7330555555555556,0.7330555555555556,0.7330555555555556,0.7330555555555556,0.7330555555555556,0.0,0.0,0.7330555555555556,0.7330555555555556,0.7330555555555556,0.7330555555555556,0.7330555555555556,0.7330555555555556,10
2021-08-06 06:00:00+00:00,0.0,14.7,2.0,8,0,4,6,False,0.0,8,0.6675,0.6675,0.6675,0.6675,0.6675,0.6675,0.0,0.0,0.6675,0.6675,0.6675,0.6675,0.6675,0.6675,10
2021-08-06 07:00:00+00:00,0.0,15.4,1.1,8,0,4,7,False,0.0,8,0.8977777777777778,0.8977777777777778,0.6019444444444445,0.5152777777777778,0.8977777777777778,0.8977777777777778,0.4644444444444444,0.6019444444444445,0.8977777777777778,0.8977777777777778,0.8977777777777778,0.8977777777777778,0.8977777777777778,0.8977777777777778,11
2021-08-06 08:00:00+00:00,0.0,16.2,2.3,8,0,4,8,False,0.0,8,0.8938888888888888,0.8938888888888888,0.0,0.0,0.8938888888888888,0.8938888888888888,0.3786111111111111,0.8938888888888888,0.8938888888888888,0.8938888888888888,0.5152777777777777,0.0,0.8938888888888888,0.8938888888888888,11
2021-08-06 09:00:00+00:00,0.0,17.1,1.7,8,2,4,9,False,0.0,8,0.9005555555555554,0.9005555555555554,0.2969444444444444,0.1411111111111111,0.2277777777777777,0.0866666666666666,0.9005555555555554,0.9005555555555554,0.9005555555555554,0.9005555555555554,0.3758333333333333,0.6727777777777778,0.6538888888888889,0.5247222222222222,17
