,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour
2022-09-07 03:00:00+00:00,0.0,12.3,2.2,7,4,2,3,False,0.0
2022-09-07 04:00:00+00:00,0.0,11.9,1.9,7,27,2,4,False,4.0
2022-09-07 05:00:00+00:00,0.0,13.4,3.1,7,46,2,5,False,27.0
2022-09-07 06:00:00+00:00,0.0,15.0,3.6,7,45,2,6,False,46.0
2022-09-07 07:00:00+00:00,0.0,16.0,4.3,3,9,2,7,False,45.0
2022-09-07 08:00:00+00:00,0.0,18.1,4.4,3,8,2,8,False,9.0
2022-09-07 09:00:00+00:00,0.0,16.0,4.1,3,11,2,9,False,8.0
2022-09-07 10:00:00+00:00,0.0,18.6,4,3,6,2,10,False,11.0
2022-09-07 11:00:00+00:00,0.0,18.9,2,3,6,2,11,False,6.0
2022-09-07 12:00:00+00:00,0.0,18.6,4.7,3,7,2,12,False,6.0
2022-09-07 13:00:00+00:00,0.0,20.1,4.8,5,26,2,13,False,7.0
2022-09-07 14:00:00+00:00,0.0,20.2,6.2,5,61,2,14,False,26.0
2022-09-07 15:00:00+00:00,0.0,19.5,5.9,5,56,2,15,False,61.0
2022-09-07 16:00:00+00:00,0.0,21.0,5.6,5,49,2,16,False,56.0
2022-09-07 17:00:00+00:00,0.0,19.4,5.9,5,52,2,17,False,49.0
2022-09-07 18:00:00+00:00,0.0,19.7,6.4,5,24,2,18,False,52.0
2022-09-07 19:00:00+00:00,0.0,18.4,3.5,6,29,2,19,False,24.0
2022-09-07 20:00:00+00:00,0.0,17.5,4.4,6,22,2,20,False,29.0
2022-09-07 21:00:00+00:00,0.0,16.7,3.6,6,14,2,21,False,22.0
2022-09-07 22:00:00+00:00,0.0,15.8,3.4,4,4,2,22,False,14.0
2022-09-07 23:00:00+00:00,0.0,14.7,3.8,4,0,2,23,False,4.0
2022-09-08 00:00:00+00:00,0.0,12.8,1,2,0,3,0,False,0.0
2022-09-08 01:00:00+00:00,0.0,12.1,1,2,0,3,1,False,0.0
2022-09-08 02:00:00+00:00,0.0,11.4,0.2,2,0,3,2,False,0.0
2022-09-08 03:00:00+00:00,0.0,11.1,1.4,2,3,3,3,False,0.0
2022-09-08 04:00:00+00:00,0.0,11.3,0.9,2,15,3,4,False,3.0
2022-09-08 05:00:00+00:00,0.0,12.2,0.6,2,68,3,5,False,15.0
2022-09-08 06:00:00+00:00,0.0,13.5,0.9,2,25,3,6,False,68.0
2022-09-08 07:00:00+00:00,0.0,13.8,0.8,8,7,3,7,False,25.0
2022-09-08 08:00:00+00:00,0.0,14.7,1.2,8,4,3,8,False,7.0
2022-09-08 09:00:00+00:00,0.0,16.0,1.6,8,6,3,9,False,4.0
2022-09-08 10:00:00+00:00,0.0,16.4,1.7,7,13,3,10,False,6.0
2022-09-08 11:00:00+00:00,0.0,17.7,1.9,7,5,3,11,False,13.0
2022-09-08 12:00:00+00:00,0.0,20.0,3.6,7,9,3,12,False,5.0
2022-09-08 13:00:00+00:00,0.0,20.1,3.3,6,19,3,13,False,9.0
2022-09-08 14:00:00+00:00,0.0,19.4,3.2,6,57,3,14,False,19.0
2022-09-08 15:00:00+00:00,0.0,19.3,5,6,43,3,15,False,57.0
2022-09-08 16:00:00+00:00,0.0,18.8,3.2,7,46,3,16,False,43.0
2022-09-08 17:00:00+00:00,0.0,18.3,4.5,7,27,3,17,False,46.0
2022-09-08 18:00:00+00:00,0.0,18.0,3.7,7,25,3,18,False,27.0
2022-09-08 19:00:00+00:00,0.0,17.2,3.3,8,20,3,19,False,25.0
2022-09-08 20:00:00+00:00,0.0,16.1,3.2,8,17,3,20,False,20.0
2022-09-08 21:00:00+00:00,0.0,15.8,2.7,8,14,3,21,False,17.0
2022-09-08 22:00:00+00:00,0.0,15.9,2.2,8,5,3,22,False,14.0
2022-09-08 23:00:00+00:00,0.0,15.8,1.8,8,0,3,23,False,5.0
2022-09-09 00:00:00+00:00,0.0,12.5,2.7,7,0,4,0,False,0.0
2022-09-09 01:00:00+00:00,0.0,12.1,2.8,7,0,4,1,False,0.0
