dateTime,availability 0,availability 1,availability 2,availability 3,availability 4,availability 5,availability 6,availability 7,availability 8,availability 9,availability 10,availability 11,availability 12,availability 13,availability 14,availability 15,nedør,temp,vind,hour,count,count_last_hour,isHoliday,weekday,month,Mean_close_count_last_hour
2021-08-16 06:00:00,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,0.0,11.8,1.9,5,0,0.0,False,0,8,0.42857142857142855
2021-08-16 07:00:00,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,0.0,13.2,2.9,6,0,0.0,False,0,8,0.9285714285714286
2021-08-16 08:00:00,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,0.0,14.3,2.7,7,0,0.0,False,0,8,1.2142857142857142
2021-08-16 09:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,14.5,3.7,8,0,0.0,False,0,8,0.7857142857142857
2021-08-16 10:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,14.9,2.7,9,2,0.0,False,0,8,0.8571428571428571
2021-08-16 11:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,16.5,4.2,10,1,2.0,False,0,8,1.7142857142857142
2021-08-16 12:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,17.5,4.1,11,1,1.0,False,0,8,0.9285714285714286
2021-08-16 13:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,18.0,3.5,12,0,1.0,False,0,8,0.9285714285714286
2021-08-16 14:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,17.7,1.7,13,1,0.0,False,0,8,1.4285714285714286
2021-08-16 15:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,18.2,0.6,14,1,1.0,False,0,8,2.0
2021-08-16 16:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.2,15.3,1.6,15,4,1.0,False,0,8,2.9285714285714284
2021-08-16 17:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,16.3,1.9,16,0,4.0,False,0,8,3.0714285714285716
2021-08-16 18:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,18.3,3.7,17,1,0.0,False,0,8,2.357142857142857
2021-08-16 19:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,18.1,3.7,18,1,1.0,False,0,8,1.7857142857142858
2021-08-16 20:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,16.5,3.7,19,0,1.0,False,0,8,1.4285714285714286
2021-08-16 21:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,16.3,4.3,20,1,0.0,False,0,8,1.1428571428571428
2021-08-16 22:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,15.4,4.1,21,0,1.0,False,0,8,1.5
2021-08-16 23:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,14.9,5.1,22,0,0.0,False,0,8,0.2857142857142857
2021-08-16 00:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,15.3,4.5,23,0,0.0,False,0,8,0.0
2021-08-17 01:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,14.9,4.7,0,0,,False,1,8,0.0
2021-08-17 02:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,15.0,4.8,1,0,0.0,False,1,8,0.0
2021-08-17 03:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,15.0,3.4,2,0,0.0,False,1,8,0.0
2021-08-17 04:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,15.1,2.8,3,0,0.0,False,1,8,0.0
2021-08-17 05:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,15.0,3.6,4,0,0.0,False,1,8,0.0
2021-08-17 06:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,14.2,4.5,5,1,0.0,False,1,8,0.07142857142857142
2021-08-17 07:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,14.2,4.6,6,0,1.0,False,1,8,0.9285714285714286
2021-08-17 08:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,15.2,5.1,7,2,0.0,False,1,8,1.5
2021-08-17 09:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,16.3,6.0,8,1,2.0,False,1,8,0.7142857142857143
2021-08-17 10:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,16.7,5.3,9,0,1.0,False,1,8,0.7857142857142857
2021-08-17 11:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,19.0,5.8,10,0,0.0,False,1,8,1.0
2021-08-17 12:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,19.3,5.0,11,0,0.0,False,1,8,1.1428571428571428
2021-08-17 13:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,19.1,7.9,12,0,0.0,False,1,8,0.7142857142857143
2021-08-17 14:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,19.7,6.0,13,1,0.0,False,1,8,1.4285714285714286
2021-08-17 15:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,19.8,5.1,14,1,1.0,False,1,8,3.5714285714285716
2021-08-17 16:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,18.9,7.0,15,2,1.0,False,1,8,5.142857142857143
2021-08-17 17:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,19.5,6.1,16,2,2.0,False,1,8,4.357142857142857
2021-08-17 18:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,19.0,5.9,17,1,2.0,False,1,8,3.0
2021-08-17 19:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.1,19.5,4.3,18,0,1.0,False,1,8,2.0714285714285716
2021-08-17 20:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,19.0,4.3,19,0,0.0,False,1,8,1.7142857142857142
2021-08-17 21:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,17.6,3.7,20,0,0.0,False,1,8,1.6428571428571428
2021-08-17 22:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,16.3,3.2,21,0,0.0,False,1,8,1.5714285714285714
2021-08-17 23:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,15.5,3.7,22,0,0.0,False,1,8,0.7857142857142857
