Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,month,bike_availability_576.0,dock_availability_576.0,bike_availability_396.0,dock_availability_396.0,bike_availability_547.0,dock_availability_547.0,bike_availability_478.0,dock_availability_478.0,bike_availability_609.0,dock_availability_609.0,bike_availability_577.0,dock_availability_577.0,num_bikes_available
2021-06-04 05:00:00+00:00,0.0,1.4,3.5,0,0,4,5,False,0.0,6,0.6188888888888889,0.6188888888888889,0.6188888888888889,0.6188888888888889,0.6188888888888889,0.6188888888888889,0.6188888888888889,0.6188888888888889,0.6188888888888889,0.6188888888888889,0.6188888888888889,0.6188888888888889,38
2021-06-04 06:00:00+00:00,0.0,0.9,1.5,0,0,4,6,False,0.0,6,0.6244444444444445,0.6244444444444445,0.6244444444444445,0.6244444444444445,0.6244444444444445,0.6244444444444445,0.6244444444444445,0.6244444444444445,0.6244444444444445,0.6244444444444445,0.6244444444444445,0.6244444444444445,38
2021-06-04 07:00:00+00:00,0.0,2.1,2.5,6,0,4,7,False,0.0,6,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.2977777777777777,0.0,0.71,0.71,19
2021-06-04 08:00:00+00:00,0.0,3.6,3.6,6,0,4,8,False,0.0,6,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.0,0.0,0.7083333333333334,0.7083333333333334,15
2021-06-04 09:00:00+00:00,0.0,5.0,3.2,6,0,4,9,False,0.0,6,0.6430555555555556,0.6430555555555556,0.6430555555555556,0.6430555555555556,0.6430555555555556,0.6430555555555556,0.6430555555555556,0.6430555555555556,0.0,0.0,0.6430555555555556,0.6430555555555556,14
2021-06-04 10:00:00+00:00,0.0,5.4,3.5,6,0,4,10,False,0.0,6,0.5288888888888889,0.3466666666666667,0.6452777777777777,0.6452777777777777,0.6452777777777777,0.6452777777777777,0.6452777777777777,0.6452777777777777,0.0424999999999999,0.1163888888888888,0.6452777777777777,0.6452777777777777,27
2021-06-04 11:00:00+00:00,0.0,5.8,5.0,6,0,4,11,False,0.0,6,0.6416666666666667,0.6416666666666667,0.6416666666666667,0.6416666666666667,0.6416666666666667,0.6416666666666667,0.6416666666666667,0.6416666666666667,0.6416666666666667,0.6416666666666667,0.6416666666666667,0.6416666666666667,27
2021-06-04 12:00:00+00:00,0.0,6.1,4.6,6,0,4,12,False,0.0,6,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,32
2021-06-04 13:00:00+00:00,0.0,6.8,4.3,7,0,4,13,False,0.0,6,0.5419444444444445,0.0,0.7825,0.7825,0.7825,0.7825,0.7825,0.7825,0.7825,0.7825,0.7825,0.7825,37
2021-06-04 14:00:00+00:00,0.0,8.5,4.1,7,1,4,14,False,0.0,6,0.0,0.0,0.8986111111111112,0.8986111111111112,0.8986111111111112,0.8986111111111112,0.8986111111111112,0.8986111111111112,0.8986111111111112,0.6611111111111112,0.8986111111111112,0.8986111111111112,39
