Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,month,bike_availability_396.0,dock_availability_396.0,bike_availability_549.0,dock_availability_549.0,bike_availability_477.0,dock_availability_477.0
2021-06-27 14:00:00+00:00,0.0,18.2,3.3,7,0,6,14,False,0.0,6,0.7844444444444445,0.7844444444444445,0.7844444444444445,0.7844444444444445,0.6838888888888889,0.4877777777777777
2021-06-27 15:00:00+00:00,0.0,17.9,2.7,7,0,6,15,False,0.0,6,0.7583333333333333,0.7583333333333333,0.7583333333333333,0.7583333333333333,0.5005555555555555,0.7583333333333333
2021-06-27 16:00:00+00:00,0.0,17.1,4.3,7,2,6,16,False,0.0,6,0.9894444444444443,0.9894444444444443,0.9894444444444443,0.9894444444444443,0.9894444444444443,0.9894444444444443
2021-06-27 17:00:00+00:00,0.0,16.6,2.8,7,0,6,17,False,2.0,6,0.9180555555555556,0.9180555555555556,0.9180555555555556,0.9180555555555556,0.9180555555555556,0.9180555555555556
2021-06-27 18:00:00+00:00,0.0,16.3,2.5,7,0,6,18,False,0.0,6,0.9883333333333334,0.9883333333333334,0.9883333333333334,0.9883333333333334,0.9883333333333334,0.9883333333333334
2021-06-27 19:00:00+00:00,0.0,15.9,2.4,7,0,6,19,False,0.0,6,0.993888888888889,0.993888888888889,0.993888888888889,0.993888888888889,0.993888888888889,0.993888888888889
2021-06-27 20:00:00+00:00,0.0,15.2,3.3,7,1,6,20,False,0.0,6,0.7388888888888889,0.7388888888888889,0.7388888888888889,0.7388888888888889,0.7388888888888889,0.7388888888888889
2021-06-27 21:00:00+00:00,0.0,14.8,2.4,7,0,6,21,False,1.0,6,0.9636111111111112,0.9636111111111112,0.9636111111111112,0.9636111111111112,0.9636111111111112,0.9636111111111112
2021-06-27 22:00:00+00:00,0.0,14.5,2.6,8,1,6,22,False,0.0,6,0.5691666666666667,0.5691666666666667,0.5691666666666667,0.5691666666666667,0.5691666666666667,0.5691666666666667
2021-06-27 23:00:00+00:00,0.0,14.5,2.0,8,0,6,23,False,1.0,6,0.5986111111111111,0.5986111111111111,0.5986111111111111,0.5986111111111111,0.5986111111111111,0.5986111111111111
2021-06-28 00:00:00+00:00,0.0,14.4,1.9,8,0,0,0,False,0.0,6,0.61,0.61,0.61,0.61,0.61,0.61
2021-06-28 01:00:00+00:00,0.0,14.3,1.8,8,0,0,1,False,0.0,6,0.6338888888888888,0.6338888888888888,0.6338888888888888,0.6338888888888888,0.6338888888888888,0.6338888888888888
2021-06-28 02:00:00+00:00,0.0,14.3,0.5,8,0,0,2,False,0.0,6,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001
2021-06-28 03:00:00+00:00,0.0,14.3,0.8,8,0,0,3,False,0.0,6,0.6630555555555556,0.6630555555555556,0.6630555555555556,0.6630555555555556,0.6630555555555556,0.6630555555555556
2021-06-28 04:00:00+00:00,0.0,14.3,0.4,8,0,0,4,False,0.0,6,0.6716666666666666,0.6716666666666666,0.6716666666666666,0.6716666666666666,0.6716666666666666,0.6716666666666666
2021-06-28 05:00:00+00:00,0.0,14.4,0.8,8,0,0,5,False,0.0,6,0.6733333333333335,0.6733333333333335,0.6733333333333335,0.6733333333333335,0.6733333333333335,0.6733333333333335
2021-06-28 06:00:00+00:00,0.0,14.5,0.8,8,0,0,6,False,0.0,6,0.6719444444444445,0.6719444444444445,0.6719444444444445,0.6719444444444445,0.6719444444444445,0.6719444444444445
2021-06-28 07:00:00+00:00,0.0,14.6,1.0,8,0,0,7,False,0.0,6,0.77,0.77,0.77,0.77,0.77,0.77
2021-06-28 08:00:00+00:00,0.0,14.9,1.0,8,1,0,8,False,0.0,6,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675
2021-06-28 09:00:00+00:00,0.0,15.4,1.0,8,0,0,9,False,1.0,6,0.9025,0.9025,0.9025,0.9025,0.9025,0.9025
2021-06-28 10:00:00+00:00,0.0,16.1,1.7,8,1,0,10,False,0.0,6,0.9058333333333334,0.9058333333333334,0.9058333333333334,0.9058333333333334,0.9058333333333334,0.9058333333333334
2021-06-28 11:00:00+00:00,0.0,17.4,2.0,8,0,0,11,False,1.0,6,0.9455555555555556,0.9455555555555556,0.9455555555555556,0.9455555555555556,0.9455555555555556,0.9455555555555556
2021-06-28 12:00:00+00:00,0.0,17.5,2.2,8,0,0,12,False,0.0,6,0.9727777777777776,0.9727777777777776,0.9727777777777776,0.9727777777777776,0.5069444444444444,0.1280555555555555
2021-06-28 13:00:00+00:00,0.0,18.6,2.1,7,1,0,13,False,0.0,6,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.0,0.0
